,state,agi_stub,returns,agi,inc,wages,interest,dividends,business,capital_gains,s_corp,rent,year,total,top_01,top_05,top_10,top_50,agi_01,agi_05,agi_10,agi_50,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_50,total_sal_amt,sum_sal_01,sum_sal_05,sum_sal_10,sum_sal_50,total_int_amt,sum_int_01,sum_int_05,sum_int_10,sum_int_50,total_div_amt,sum_div_01,sum_div_05,sum_div_10,sum_div_50,total_businc_amt,sum_businc_01,sum_businc_05,sum_businc_10,sum_businc_50,total_cpgain_amt,sum_cpgain_01,sum_cpgain_05,sum_cpgain_10,sum_cpgain_50,total_scorp_amt,sum_scorp_01,sum_scorp_05,sum_scorp_10,sum_scorp_50,agi_stub_cat
59,CA,4,3851790,138878679,140954196,112147824,819257,1239166,6896465,264878,767521,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000 under $50,000"
60,CA,5,2145060,131894268,133748754,102834546,896182,1497686,4680570,499591,1150477,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000 under $75,000"
61,CA,6,1361410,117843576,119390798,89723131,833947,1503374,3893053,716726,1365032,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,000 under $100,000"
62,CA,7,2004220,273369904,277251377,208589345,2009079,4151464,9803514,3362986,5942359,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000 under $200,000"
63,CA,8,643120,182955801,186553363,128286561,1903552,4535146,9174130,7844474,14215889,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$200,000 under $500,000"
64,CA,9,101080,68183738,69640951,37939476,1093132,2630669,3158601,7187337,11967157,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000 under $1,000,000"
65,CA,10,58490,223216271,225296245,70360007,5714822,15546163,4041145,74363955,40861903,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000,000 or more"
66,CO,0,2450150,164960975,167797495,112766329,2063265,4644807,5441535,13586420,9978474,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No AGI Stub
67,CO,1,42410,-3632894,-3570474,345807,221568,179210,-181196,356107,-1111123,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under $1
68,CO,2,340580,1779080,1863566,1441994,33148,56131,191669,-4302,-13281,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1 under $10,000"
69,CO,3,510040,8810041,8995181,6745152,78433,125915,678753,30076,37630,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,000 under $25,000"
70,CO,4,580830,21052558,21408049,17041426,126326,214013,788707,88094,189420,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000 under $50,000"
71,CO,5,342330,21091883,21433008,16234531,141970,259352,625772,150011,311059,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000 under $75,000"
