,state,year,agi_stub,income_type,amount
439,PA,2012,10,returns,"13,280"
440,RI,2012,0,returns,"512,930"
441,RI,2012,1,returns,"6,210"
442,RI,2012,2,returns,"82,750"
443,RI,2012,3,returns,"115,380"
444,RI,2012,4,returns,"119,380"
445,RI,2012,5,returns,"69,710"
446,RI,2012,6,returns,"44,480"
447,RI,2012,7,returns,"59,150"
448,RI,2012,8,returns,"13,020"
449,RI,2012,9,returns,"1,900"
450,RI,2012,10,returns,940
451,SC,2012,0,returns,"2,077,310"
452,SC,2012,1,returns,"28,320"
453,SC,2012,2,returns,"338,050"
454,SC,2012,3,returns,"560,120"
455,SC,2012,4,returns,"512,480"
456,SC,2012,5,returns,"254,550"
457,SC,2012,6,returns,"156,800"
458,SC,2012,7,returns,"178,890"
459,SC,2012,8,returns,"38,990"
460,SC,2012,9,returns,"6,180"
461,SC,2012,10,returns,"2,940"
462,SD,2012,0,returns,"414,950"
463,SD,2012,1,returns,"6,780"
464,SD,2012,2,returns,"68,490"
465,SD,2012,3,returns,"91,080"
466,SD,2012,4,returns,"104,050"
467,SD,2012,5,returns,"59,100"
468,SD,2012,6,returns,"37,730"
469,SD,2012,7,returns,"35,900"
470,SD,2012,8,returns,"8,840"
471,SD,2012,9,returns,"1,920"
472,SD,2012,10,returns,"1,060"
473,TN,2012,0,returns,"2,882,040"
474,TN,2012,1,returns,"39,410"
475,TN,2012,2,returns,"472,860"
476,TN,2012,3,returns,"766,800"
477,TN,2012,4,returns,"711,890"
478,TN,2012,5,returns,"366,890"
479,TN,2012,6,returns,"215,750"
480,TN,2012,7,returns,"234,730"
481,TN,2012,8,returns,"58,170"
482,TN,2012,9,returns,"10,260"
483,TN,2012,10,returns,"5,300"
484,TX,2012,0,returns,"11,573,440"
485,TX,2012,1,returns,"152,900"
486,TX,2012,2,returns,"1,742,650"
487,TX,2012,3,returns,"2,944,640"
488,TX,2012,4,returns,"2,794,290"
489,TX,2012,5,returns,"1,428,090"
490,TX,2012,6,returns,"888,450"
491,TX,2012,7,returns,"1,183,840"
492,TX,2012,8,returns,"341,370"
493,TX,2012,9,returns,"60,740"
494,TX,2012,10,returns,"36,480"
495,UT,2012,0,returns,"1,174,090"
496,UT,2012,1,returns,"16,860"
497,UT,2012,2,returns,"177,740"
498,UT,2012,3,returns,"255,840"
499,UT,2012,4,returns,"281,300"
500,UT,2012,5,returns,"177,720"
501,UT,2012,6,returns,"112,600"
502,UT,2012,7,returns,"120,200"
503,UT,2012,8,returns,"24,980"
504,UT,2012,9,returns,"4,370"
505,UT,2012,10,returns,"2,480"
506,VT,2012,0,returns,"321,250"
507,VT,2012,1,returns,"6,220"
508,VT,2012,2,returns,"55,220"
509,VT,2012,3,returns,"67,500"
510,VT,2012,4,returns,"79,830"
511,VT,2012,5,returns,"44,670"
512,VT,2012,6,returns,"28,610"
513,VT,2012,7,returns,"30,890"
514,VT,2012,8,returns,"6,850"
515,VT,2012,9,returns,"1,010"
516,VT,2012,10,returns,470
517,VA,2012,0,returns,"3,811,070"
518,VA,2012,1,returns,"42,530"
519,VA,2012,2,returns,"527,420"
520,VA,2012,3,returns,"781,310"
521,VA,2012,4,returns,"855,200"
522,VA,2012,5,returns,"516,570"
523,VA,2012,6,returns,"355,740"
524,VA,2012,7,returns,"540,860"
525,VA,2012,8,returns,"162,960"
526,VA,2012,9,returns,"19,260"
527,VA,2012,10,returns,"9,230"
528,WA,2012,0,returns,"3,244,400"
529,WA,2012,1,returns,"51,070"
530,WA,2012,2,returns,"426,060"
531,WA,2012,3,returns,"654,960"
532,WA,2012,4,returns,"767,340"
533,WA,2012,5,returns,"470,380"
534,WA,2012,6,returns,"315,630"
535,WA,2012,7,returns,"427,720"
536,WA,2012,8,returns,"107,640"
537,WA,2012,9,returns,"15,530"
538,WA,2012,10,returns,"8,080"
539,WV,2012,0,returns,"788,490"
540,WV,2012,1,returns,"7,570"
541,WV,2012,2,returns,"136,570"
542,WV,2012,3,returns,"198,300"
543,WV,2012,4,returns,"184,390"
544,WV,2012,5,returns,"110,520"
545,WV,2012,6,returns,"70,350"
546,WV,2012,7,returns,"66,910"
547,WV,2012,8,returns,"11,290"
548,WV,2012,9,returns,"1,830"
549,WV,2012,10,returns,760
550,WI,2012,0,returns,"2,778,100"
551,WI,2012,1,returns,"37,370"
552,WI,2012,2,returns,"452,190"
553,WI,2012,3,returns,"591,990"
554,WI,2012,4,returns,"662,640"
555,WI,2012,5,returns,"406,940"
556,WI,2012,6,returns,"270,320"
557,WI,2012,7,returns,"285,580"
558,WI,2012,8,returns,"55,990"
559,WI,2012,9,returns,"9,820"
560,WI,2012,10,returns,"5,250"
561,WY,2012,0,returns,"301,660"
562,WY,2012,1,returns,"5,030"
563,WY,2012,2,returns,"46,810"
564,WY,2012,3,returns,"66,390"
